SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
001003,2025,1,1,0.0015976627,0.9214186,0.07698362,1.2058634e-07
001004,2025,1,1,0.0043641543,0.99178845,0.003847406,4.8089817e-09
001005,2025,1,1,0.013542534,0.9860713,0.0003862396,8.4614266e-10
001006,2025,1,1,0.00015965595,0.99951124,0.00017607382,0.00015300914
001007,2025,1,1,0.00012073512,0.9993042,1.1522824e-06,0.00057394704
001008,2025,1,1,0.00012017547,0.9994854,1.7630306e-07,0.00039428563
001009,2025,0,0,0.936417,0.06358285,1.3488497e-07,3.7148454e-10
001010,2025,1,1,0.00019306903,0.99971277,2.6635213e-08,9.416346e-05
001011,2025,1,1,6.413219e-05,0.98586035,1.1084134e-06,0.014074382
001012,2025,1,1,0.0008892357,0.9922616,0.0068492065,8.118548e-10
001013,2025,0,1,0.06351068,0.93647575,1.3553989e-05,6.694444e-11
001014,2025,1,1,0.052073013,0.9479177,9.267962e-06,7.157338e-11
001015,2025,1,1,0.016639004,0.98333967,2.1312622e-05,3.357896e-11
001016,2025,1,1,0.008071655,0.99189794,3.0338426e-05,5.720546e-11
001017,2025,1,1,0.013921312,0.98606944,9.280626e-06,5.2607255e-11
001018,2025,0,2,0.001269838,0.021915957,0.96701473,0.009799479
001019,2025,3,3,0.00031710876,3.5800888e-06,5.819446e-07,0.99967873
001020,2025,3,3,0.000940216,0.11085848,0.010369423,0.877832
001021,2025,1,2,0.00023780593,0.44226652,0.5483913,0.009104309
001022,2025,2,2,2.8278355e-05,0.019322002,0.98062974,1.9967323e-05
001023,2025,2,1,0.0007053936,0.50660056,0.49269393,1.4798766e-07
001024,2025,1,1,0.0030059651,0.9966144,0.00037965144,3.381344e-11
001025,2025,1,1,0.0059506674,0.99401784,3.1482974e-05,7.9296136e-12
001026,2025,3,1,1.7521015e-05,0.8638404,1.7749386e-07,0.1361419
001027,2025,1,1,3.0646606e-05,0.97897583,0.0005332911,0.020460285
001028,2025,1,1,6.0808336e-05,0.9536754,0.04311393,0.00314981
001029,2025,1,1,7.4381824e-05,0.99806696,0.0010928897,0.00076576497
001030,2025,1,1,0.000121398836,0.8197823,0.18000598,9.028809e-05
001031,2025,2,2,0.0001595065,0.26723164,0.732606,2.903479e-06
001032,2025,1,1,0.0024088603,0.9784555,0.01913567,2.3413882e-08
001033,2025,1,1,0.003706755,0.99293125,0.0033620347,3.0389844e-09
001034,2025,1,1,0.00915479,0.9907094,0.00013582391,4.0849026e-11
001035,2025,1,1,0.015352553,0.9845458,0.00010166999,4.471651e-11
001036,2025,1,1,0.000105683386,0.99957544,4.4837343e-08,0.00031892685
001037,2025,1,1,0.00027373736,0.99968636,3.2758134e-08,3.9958304e-05
001038,2025,1,1,0.00025613236,0.9996798,2.5700049e-06,6.145659e-05
001039,2025,1,1,0.00052032666,0.9990258,0.00044727305,6.555149e-06
001040,2025,1,1,0.0005538431,0.99618345,0.0032593815,3.3204242e-06
001041,2025,1,1,0.0011869785,0.9889626,0.009849961,4.7110817e-07
001042,2025,1,1,0.007254918,0.9914648,0.001280331,8.436226e-09
001043,2025,1,1,0.004880935,0.9942247,0.0008944029,2.53803e-10
001044,2025,1,1,0.00038643397,0.9995776,8.137384e-06,2.7883501e-05
001045,2025,1,1,0.00024289283,0.9997168,2.9375724e-09,4.0320854e-05
001046,2025,1,1,0.0007262082,0.9992656,1.9587314e-06,6.1611036e-06
001047,2025,1,1,0.00046917712,0.99945706,6.236395e-05,1.1378514e-05
001048,2025,1,1,0.0012910522,0.9986965,1.8854721e-06,1.06032185e-05
001049,2025,1,1,0.00011223957,0.9993463,0.00026768568,0.0002738082
001050,2025,1,1,0.000117782205,0.9698364,0.029947476,9.827041e-05
001051,2025,2,1,0.0005927841,0.6423204,0.35708594,9.491584e-07
001052,2025,1,1,0.0028178433,0.99150544,0.005676766,2.542562e-09
001053,2025,1,1,0.0007624703,0.9969495,0.0022853776,2.7224255e-06
001054,2025,1,1,0.00044871867,0.99754214,0.0019199175,8.913982e-05
001055,2025,1,1,0.00018272155,0.9993399,0.00010722977,0.00037018038
001056,2025,1,1,0.00013190325,0.99937963,0.0002550314,0.00023340966
001057,2025,1,1,0.00047084433,0.99950993,2.3548782e-06,1.6924025e-05
001058,2025,1,1,0.00023584256,0.9997266,3.1921008e-09,3.7498754e-05
001061,2025,1,1,6.0865026e-05,0.9977805,3.1170737e-05,0.0021274232
001062,2025,1,1,4.0914718e-05,0.98047996,4.506735e-05,0.019434027
001063,2025,3,3,4.2804644e-05,0.43000755,0.00020619054,0.5697435
001064,2025,3,1,5.721735e-05,0.76793367,0.0007260003,0.23128301
001065,2025,1,1,0.00011256279,0.86658216,0.13319796,0.00010734057
001066,2025,1,1,5.3370564e-05,0.9673761,0.030849488,0.0017210585
001067,2025,1,2,9.9638324e-05,0.43147987,0.5679907,0.00042975505
001068,2025,2,2,0.00017978187,0.24257049,0.7572483,1.3737961e-06
001069,2025,2,2,2.4477727e-05,0.027974054,0.9719948,6.6087437e-06
001070,2025,1,1,5.8816142e-05,0.9361821,0.0142030055,0.049556095
001071,2025,1,1,0.00011274112,0.99897015,1.12473856e-07,0.0009170217
001072,2025,1,1,0.00010687105,0.99469155,3.0336505e-06,0.0051984824
001073,2025,3,1,4.2388587e-05,0.9503467,1.2785927e-05,0.049598098
001074,2025,3,3,3.462333e-05,0.082623035,1.2927432e-05,0.91732943
001075,2025,3,3,0.0001848173,8.29329e-06,1.5153671e-06,0.9998054
001076,2025,3,3,0.0012360418,0.22175477,0.03618241,0.7408267
001077,2025,1,2,0.00055022317,0.18081081,0.804677,0.013961969
001078,2025,1,1,0.00017921218,0.99942565,4.4084613e-06,0.00039075504
001079,2025,1,1,0.00027197806,0.9996092,6.6505336e-08,0.000118796655
001080,2025,1,1,0.0001428342,0.9992244,5.4472036e-07,0.0006321161
001081,2025,1,1,0.00010172503,0.9983564,4.3341828e-07,0.0015414134
001082,2025,1,1,5.0697938e-05,0.98384523,2.6820921e-06,0.016101418
001083,2025,3,1,7.129289e-05,0.90363646,1.1027341e-05,0.09628124
001084,2025,1,1,7.630577e-05,0.9986986,7.5657306e-07,0.001224388
001085,2025,1,1,5.795058e-05,0.99730897,3.3746972e-05,0.0025993218
001086,2025,1,1,5.038785e-05,0.9751643,7.044291e-05,0.024714928
001087,2025,2,2,2.8013685e-05,0.0057812296,0.9941836,7.2495395e-06
002001,2025,3,3,0.00014526039,0.08943845,0.0008180328,0.90959823
002002,2025,0,1,0.07978868,0.92020047,1.08587055e-05,6.645264e-11
002003,2025,0,0,0.98760194,0.01239807,1.9982196e-09,7.017619e-11
002004,2025,0,0,0.9947314,0.005268528,1.04737705e-10,1.457034e-11
002007,2025,0,0,0.9816937,0.01830625,5.883126e-10,1.8718962e-11
002008,2025,0,0,0.99828124,0.0017187578,4.903555e-11,1.7888583e-11
002011,2025,1,1,0.20282067,0.7971763,3.0672522e-06,2.7989158e-10
002012,2025,0,0,0.77942824,0.22057152,2.7376316e-07,4.6920295e-10
002013,2025,1,0,0.5450774,0.45492208,4.955735e-07,4.623212e-10
002014,2025,1,1,0.35659063,0.6434088,6.3223496e-07,4.2695902e-10
002015,2025,1,1,0.22654217,0.7734571,7.178025e-07,3.4664296e-10
